__id__,AX1,AY1,AZ1,GX1,GY1,GZ1,labels
2:03:02,-0.3,6.93,7.08,-0.03,-0.01,-0.03,
2:03:03,-0.5,7.06,7.26,0.04,0.03,-0.09,
2:03:04,-0.45,6.98,7.06,-0.06,-0.01,-0.06,
2:03:05,-0.67,7.03,7.06,-0.07,-0.03,-0.07,
2:03:06,-0.23,7.12,7,-0.08,0.03,-0.04,
2:03:07,-0.41,7.01,7.04,-0.1,0.04,0.01,
2:03:08,-0.33,7.13,6.99,-0.02,-0.01,-0.02,
2:03:09,-0.28,7.03,7.15,-0.09,0.02,0,
2:03:10,-0.29,7.02,7.11,-0.08,0.02,-0.01,
2:03:11,-0.31,7.16,6.92,-0.1,0.07,0.01,
2:03:12,-0.53,7.01,7.15,-0.06,0.01,-0.02,
